model,run_name,parameter_count,best_epoch,validation_accuracy,validation_macro_f1,test_accuracy,test_macro_f1,training_seconds,evaluation_seconds
CNN,cnn_seed42,96362,20,0.9255,0.9248150958168125,0.9192,0.9182949679769845,101.4083443999989,0.6924216000006709
TinyViT,tinyvit_seed42,105098,18,0.8801666666666667,0.8802772611565686,0.8778,0.8776934925235972,101.98463080000147,0.793434299997898
TinyViT without position encoding,tinyvit_no_pos_seed42,101898,16,0.832,0.8308501773125005,0.8309,0.8298371046190887,103.42142339999918,0.7917951999988873
