epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,1.078400106906891,0.604,0.7406419962247213,0.7331666666666666,0.7266107570789883,5.246391399999993
2,0.7439211973790769,0.7331111111111112,0.6547635777791341,0.7676666666666667,0.7650401431213755,5.015214700000797
3,0.6689638926894577,0.7573703703703704,0.6034931400616964,0.7791666666666667,0.7765734726831166,5.027387300000555
4,0.6231290995633161,0.7748518518518519,0.5716594335238139,0.7905,0.7872439664926683,5.072220300000481
5,0.5979602721002367,0.7825925925925926,0.5958642834027609,0.7895,0.7878986424193691,5.038659199999529
6,0.5709993223967376,0.7925185185185185,0.5337680211861928,0.8123333333333334,0.812640269379403,5.173114599998371
7,0.5556915413185403,0.7972037037037037,0.5351676055590312,0.8063333333333333,0.8050138873692886,5.086164799999096
8,0.541248638983126,0.8033888888888889,0.5285448086261749,0.8138333333333333,0.8108862495213099,5.122358100001293
9,0.5220212328787203,0.8107592592592593,0.5118022635777791,0.8185,0.8159547767186692,5.159860699997807
10,0.5130060779253641,0.8126296296296296,0.5221604477564494,0.8141666666666667,0.8126239024830417,5.150140900001134
11,0.503070075388308,0.8175185185185185,0.49956961822509766,0.8228333333333333,0.8214029415510125,5.188922500001354
12,0.49626542283870556,0.8185370370370371,0.49002892804145814,0.8181666666666667,0.8184141343081055,5.161421600001631
13,0.4856360609619706,0.8225185185185185,0.483054567416509,0.8278333333333333,0.8258152947969,5.178891300001851
14,0.4764025784598456,0.8251666666666667,0.49046496136983236,0.8201666666666667,0.8201135603927755,5.194838199997321
15,0.4658947383562724,0.829462962962963,0.49958211962382,0.822,0.8204692873926869,5.1485964999992575
16,0.4594490818094324,0.8310925925925926,0.46559659751256305,0.832,0.8308501773125005,5.124002000000473
17,0.4558399980421419,0.8333703703703703,0.49254941630363464,0.8221666666666667,0.8220221977706992,5.117828599999484
18,0.44859061246448095,0.8357592592592593,0.4788366484642029,0.8256666666666667,0.8264966600219343,5.678515200001129
19,0.4449608668397974,0.8361481481481482,0.4595550434589386,0.831,0.8317843486468759,5.241487300001609
20,0.43777052683300444,0.8397407407407408,0.48208461817105613,0.8273333333333334,0.826862447423142,5.169823099997302
