epoch,optimization_loss,eval_loss,eval_accuracy
1,2.291732668876648,2.056366205215454,0.1953125
2,2.0198434591293335,1.8693089485168457,0.375
3,1.9076753854751587,1.7940729856491089,0.375
4,1.834328532218933,1.7479995489120483,0.4140625
5,1.8119425177574158,1.6801119446754456,0.40625
6,1.7084287405014038,1.6012063026428223,0.41796875
7,1.6746678352355957,1.5279307961463928,0.46875
8,1.6001408100128174,1.4941039085388184,0.484375
9,1.554018795490265,1.4726091027259827,0.47265625
10,1.5152320861816406,1.4201090931892395,0.47265625
11,1.4732484221458435,1.3879209756851196,0.5078125
12,1.4560130834579468,1.4204175472259521,0.4765625
13,1.4585590362548828,1.3086328506469727,0.5390625
14,1.3981431722640991,1.3305264711380005,0.51953125
15,1.3898375034332275,1.271859347820282,0.54296875
16,1.3417764902114868,1.209031343460083,0.56640625
17,1.307729721069336,1.2049662470817566,0.5546875
18,1.2525393962860107,1.1265127062797546,0.5859375
19,1.2332162857055664,1.0900679230690002,0.6015625
20,1.2141696214675903,1.071907877922058,0.60546875
21,1.150820255279541,1.0332496166229248,0.62109375
22,1.1125264763832092,1.0039100050926208,0.64453125
23,1.089813768863678,0.9618229866027832,0.6640625
24,1.105237901210785,0.9353254437446594,0.6875
25,1.037284016609192,0.8944563865661621,0.7109375
26,1.0272177457809448,0.8639689087867737,0.71484375
27,0.9593130350112915,0.8423158526420593,0.703125
28,0.9672012627124786,0.8455999493598938,0.69921875
29,0.926837295293808,0.7697928547859192,0.765625
30,0.9007247686386108,0.7241551876068115,0.76171875
31,0.86602783203125,0.7741503417491913,0.7109375
32,0.8927933871746063,0.6911111176013947,0.78125
33,0.8071863353252411,0.6611063182353973,0.78515625
34,0.8201361298561096,0.6963103413581848,0.7890625
35,0.7877119779586792,0.6164588928222656,0.8125
36,0.7344488501548767,0.5710259079933167,0.8203125
37,0.713943749666214,0.5562058687210083,0.83203125
38,0.7071986496448517,0.5632559955120087,0.8203125
39,0.6773081421852112,0.5430716276168823,0.82421875
40,0.6467288136482239,0.49971798062324524,0.828125
41,0.6730422377586365,0.4892665147781372,0.8359375
42,0.6257137060165405,0.47975851595401764,0.85546875
43,0.6022258400917053,0.4657241106033325,0.86328125
44,0.5795120596885681,0.4341152608394623,0.87109375
45,0.5566766262054443,0.4078826755285263,0.859375
46,0.5112228393554688,0.43165531754493713,0.87109375
47,0.5483653247356415,0.380705326795578,0.8984375
48,0.49480707943439484,0.35149501264095306,0.90234375
49,0.5322465598583221,0.34478120505809784,0.89453125
50,0.47272294759750366,0.3129953294992447,0.90625
51,0.44961734116077423,0.3822556734085083,0.87890625
52,0.46724891662597656,0.30641381442546844,0.91015625
53,0.4433167576789856,0.31944550573825836,0.90234375
54,0.42849108576774597,0.27145808935165405,0.92578125
55,0.4359103739261627,0.2571570873260498,0.9296875
56,0.3620493710041046,0.23424512147903442,0.92578125
57,0.41318970918655396,0.22705495357513428,0.92578125
58,0.3957938551902771,0.21435480564832687,0.93359375
59,0.35042789578437805,0.20543396472930908,0.94921875
60,0.3502983897924423,0.199788436293602,0.95703125
61,0.37953248620033264,0.21339977532625198,0.93359375
62,0.316551610827446,0.2038429081439972,0.94921875
63,0.28552478551864624,0.23657801002264023,0.91796875
64,0.34686100482940674,0.2093028575181961,0.93359375
65,0.3332028388977051,0.16831014305353165,0.96875
66,0.29167209565639496,0.15256527066230774,0.9609375
67,0.33962033689022064,0.13372676819562912,0.96875
68,0.25311844050884247,0.1394750326871872,0.96875
69,0.2432532012462616,0.12394576147198677,0.9765625
70,0.23802056908607483,0.1298888549208641,0.97265625
71,0.241853229701519,0.11416321992874146,0.9921875
