epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,0.4925778271710431,0.821925925925926,0.32912453548113507,0.8806666666666667,0.8804935356471718,5.512137599998823
2,0.2947375366246259,0.8942962962962963,0.2645526366233826,0.9006666666666666,0.9011015828595692,4.944879200000287
3,0.24393606179290347,0.9115,0.24764627162615457,0.905,0.9058776688345809,4.950987600001099
4,0.21505108103487228,0.9229814814814815,0.23337380890051523,0.9131666666666667,0.9130693257308229,5.014436299999943
5,0.19098133012762777,0.9304074074074075,0.22416186360518137,0.9166666666666666,0.9159704053145775,4.97216280000066
6,0.1776162084252746,0.936037037037037,0.22068006110191346,0.9175,0.918221468091416,5.0102168999983405
7,0.1582804205550088,0.9428888888888889,0.2200132114092509,0.9186666666666666,0.9187512399074473,5.009488799998508
8,0.14574354044154839,0.9466666666666667,0.21465146191914877,0.9235,0.9227919539235024,5.006045099999028
9,0.12997737577226426,0.953462962962963,0.22979942591985067,0.919,0.9185929365028456,5.073339800001122
10,0.1182265162732866,0.9563333333333334,0.2299910626411438,0.9201666666666667,0.920217609634476,5.075311000000511
11,0.1070375984289028,0.9604444444444444,0.23423803544044494,0.922,0.9218941706569346,5.059775000001537
12,0.09740929007088696,0.9635,0.23673608255386352,0.9221666666666667,0.9225638735416771,5.052499800000078
13,0.08715860943882554,0.9675,0.24799793640772502,0.9235,0.9240403822684232,5.072855900001741
14,0.08061007990218975,0.9706851851851852,0.2671855314572652,0.9221666666666667,0.9226807754304363,5.078439699998853
15,0.07294921078063824,0.9727407407407408,0.2736820929050446,0.9208333333333333,0.9214363863334556,5.045859800000471
16,0.06775948490036858,0.9750185185185185,0.2908050146102905,0.9201666666666667,0.9202943488672701,5.101217100000213
17,0.06255212926754244,0.9768703703703704,0.29584500527381896,0.9198333333333333,0.9189242364676655,5.073382999999012
18,0.05425277566578653,0.9793148148148149,0.29588974579175314,0.9176666666666666,0.9178912285614569,5.082560999999259
19,0.051818877478440606,0.9811296296296297,0.3005668053627014,0.9243333333333333,0.9240522973642052,5.0663698999996996
20,0.05100251928247787,0.9810740740740741,0.3190234200954437,0.9255,0.9248150958168125,5.122998099999677
