true\predicted,T-shirt/top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
T-shirt/top,866,0,22,24,3,1,81,0,3,0
Trouser,1,988,0,9,0,0,1,0,1,0
Pullover,22,1,899,11,44,0,22,0,1,0
Dress,21,3,5,925,34,0,11,0,1,0
Coat,1,0,30,14,919,0,34,0,2,0
Sandal,0,0,0,0,0,981,0,9,0,10
Shirt,115,0,55,34,95,0,696,0,5,0
Sneaker,0,0,0,0,0,12,0,974,0,14
Bag,7,2,1,2,1,3,1,3,980,0
Ankle boot,0,0,1,0,0,3,0,32,0,964
