epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_macro_f1,epoch_seconds
1,0.9291385628205758,0.6569814814814815,0.575948804696401,0.7923333333333333,0.7925605023336402,5.215669200002594
2,0.5470696630301299,0.8002222222222222,0.4828879090944926,0.8226666666666667,0.8218502534864287,4.8975320999998075
3,0.4783026145122669,0.8252407407407407,0.4650694576104482,0.8308333333333333,0.8292822041878617,4.889912300001015
4,0.44576666703047574,0.8351666666666666,0.4336634591420492,0.8346666666666667,0.8332841351741601,5.131721000001562
5,0.4246226743768763,0.8427222222222223,0.42900575971603394,0.8413333333333334,0.8388939300838759,5.059137799999007
6,0.40715970785529526,0.8485370370370371,0.3847364854812622,0.8563333333333333,0.8555853769390479,5.156439700000192
7,0.39753591128631877,0.8503333333333334,0.3760413978099823,0.858,0.8554199590811884,5.139037200002349
8,0.3852477735325142,0.8565,0.38570896776517233,0.8523333333333334,0.8509712200434706,5.085088399999222
9,0.37222055411338806,0.8609444444444444,0.3684040953318278,0.865,0.8646086134039654,5.021336799996789
10,0.3664929858755182,0.8616296296296296,0.38817055384318033,0.8545,0.8540441801928527,5.043668600003002
11,0.35773501920700074,0.8655925925925926,0.35419064315160115,0.8676666666666667,0.8666268023370322,5.081314300001395
12,0.35227765612249023,0.8662037037037037,0.36322640999158223,0.8618333333333333,0.863395561563801,5.067068399999698
13,0.34563076086397526,0.8689259259259259,0.35378414392471313,0.865,0.8635551161037764,5.140534300000581
14,0.3400562723124469,0.8705,0.347207737048467,0.8638333333333333,0.864967874487931,5.112561800000549
15,0.332540420850118,0.8737037037037036,0.3378276606400808,0.8733333333333333,0.8730666664871423,5.209803000001557
16,0.32477912279411597,0.8758333333333334,0.3337895780404409,0.8743333333333333,0.8734600417320483,5.09470119999969
17,0.32237405655119156,0.8781851851851852,0.33417281619707745,0.878,0.878160648106953,5.1329886999992596
18,0.31921948488553364,0.8798148148148148,0.319859592517217,0.8801666666666667,0.8802772611565686,5.143357799999649
19,0.3110607382544765,0.8818148148148148,0.34470953726768494,0.8666666666666667,0.8667775211818339,5.093129299999418
20,0.31110732957610376,0.8827962962962963,0.31980592306454975,0.8785,0.8778056372243466,5.113633199998731
